,m_reaction,m_gene,m_subsystem,m_metabolites,u_pdb,i_entry_name,ssb_best_file
1328,DUTPDP,TM_0913,Pyrimidine Metabolism,"['h2o_c', 'dump_c', 'ppi_c', 'dutp_c', 'h_c']",,Q9X015.pdb,Q9X015.pdb
1329,NTPP1,TM_0913,Purine Metabolism,"['dgtp_c', 'h_c', 'h2o_c', 'ppi_c', 'dgmp_c']",,Q9X015.pdb,Q9X015.pdb
1330,NTPP2,TM_0913,Purine Metabolism,"['gmp_c', 'h_c', 'h2o_c', 'ppi_c', 'gtp_c']",,Q9X015.pdb,Q9X015.pdb
1331,NTPP3,TM_0913,Pyrimidine Metabolism,"['h2o_c', 'h_c', 'ppi_c', 'dcmp_c', 'dctp_c']",,Q9X015.pdb,Q9X015.pdb
1332,NTPP4,TM_0913,Pyrimidine Metabolism,"['cmp_c', 'h2o_c', 'h_c', 'ppi_c', 'ctp_c']",,Q9X015.pdb,Q9X015.pdb
1333,NTPP5,TM_0913,Purine Metabolism,"['h2o_c', 'h_c', 'datp_c', 'ppi_c', 'damp_c']",,Q9X015.pdb,Q9X015.pdb
1334,NTPP6,TM_0913,Purine Metabolism,"['atp_c', 'h_c', 'h2o_c', 'ppi_c', 'amp_c']",,Q9X015.pdb,Q9X015.pdb
1335,NTPP7,TM_0913,Pyrimidine Metabolism,"['h2o_c', 'ppi_c', 'dtmp_c', 'dttp_c', 'h_c']",,Q9X015.pdb,Q9X015.pdb
1336,NTPP8,TM_0913,Pyrimidine Metabolism,"['h2o_c', 'ump_c', 'utp_c', 'ppi_c', 'h_c']",,Q9X015.pdb,Q9X015.pdb
1337,PPA,TM_0913,Energy Metabolism,"['h2o_c', 'ppi_c', 'pi_c', 'h_c']",,Q9X015.pdb,Q9X015.pdb
1338,PPA,TM_0587,Energy Metabolism,"['h2o_c', 'ppi_c', 'pi_c', 'h_c']",,Q9WZ56.pdb,Q9WZ56.pdb
1339,DXPS,TM_1770,Terpenoid biosynthesis,"['pyr_c', 'h_c', 'co2_c', 'g3p_c', 'dxyl5p_c']",,Q9X291.pdb,Q9X291.pdb
1340,EGLUCe,TM_0305,Cellulose Metabolism,"['h2o_e', 'cell4_e', 'cell500_e']",,Q9WYE1.pdb,Q9WYE1.pdb
1341,EGLUCe,TM_1525,Cellulose Metabolism,"['h2o_e', 'cell4_e', 'cell500_e']",,G4FFR3.pdb,G4FFR3.pdb
1342,GLCMAN600a_e,TM_0305,Mannan Metabolism,"['h2o_e', 'glcman4_e', 'glcman600_e']",,Q9WYE1.pdb,Q9WYE1.pdb
1343,GLCMAN600a_e,TM_1227,Mannan Metabolism,"['h2o_e', 'glcman4_e', 'glcman600_e']",,Q9X0V4.pdb,Q9X0V4.pdb
1344,GLCMAN600b_e,TM_0305,Mannan Metabolism,"['h2o_e', 'glcman600_e', 'glcman6_e']",,Q9WYE1.pdb,Q9WYE1.pdb
1345,GLCMAN600b_e,TM_1227,Mannan Metabolism,"['h2o_e', 'glcman600_e', 'glcman6_e']",,Q9X0V4.pdb,Q9X0V4.pdb
1346,GLCMAN600c_e,TM_0305,Mannan Metabolism,"['h2o_e', 'glcman4_e', 'glcman6_e', 'glcman600_e']",,Q9WYE1.pdb,Q9WYE1.pdb
1347,GLCMAN600c_e,TM_1227,Mannan Metabolism,"['h2o_e', 'glcman4_e', 'glcman6_e', 'glcman600_e']",,Q9X0V4.pdb,Q9X0V4.pdb
1348,GLS2e,TM_0305,Glucan Metabolism,"['h2o_e', 'glucan1500_e', 'glucan6_e']",,Q9WYE1.pdb,Q9WYE1.pdb
1349,GLS2e,TM_1525,Glucan Metabolism,"['h2o_e', 'glucan1500_e', 'glucan6_e']",,G4FFR3.pdb,G4FFR3.pdb
1350,GLS3e,TM_0305,Glucan Metabolism,"['h2o_e', 'glucan4_e', 'glucan1500_e', 'glucan6_e']",,Q9WYE1.pdb,Q9WYE1.pdb
1351,GLS3e,TM_1525,Glucan Metabolism,"['h2o_e', 'glucan4_e', 'glucan1500_e', 'glucan6_e']",,G4FFR3.pdb,G4FFR3.pdb
1352,GLSe,TM_0305,Glucan Metabolism,"['h2o_e', 'glucan4_e', 'glucan1500_e']",,Q9WYE1.pdb,Q9WYE1.pdb
1353,GLSe,TM_1525,Glucan Metabolism,"['h2o_e', 'glucan4_e', 'glucan1500_e']",,G4FFR3.pdb,G4FFR3.pdb
1354,ENO,TM_0877,Glycolysis/Gluconeogenesis,"['h2o_c', '2pg_c', 'pep_c']",,P42848.pdb,P42848.pdb
1355,FBA,TM_0273,Glycolysis/Gluconeogenesis,"['fdp_c', 'g3p_c', 'dhap_c']",,Q9WYB0.pdb,Q9WYB0.pdb
1356,FBA2,TM_0273,Carbohydrate Metabolism,"['dhap_c', 'glyald_c', 'f1p_c']",,Q9WYB0.pdb,Q9WYB0.pdb
1357,FBA3,TM_0273,Carbohydrate Metabolism,"['dhap_c', 's17bp_c', 'e4p_c']",,Q9WYB0.pdb,Q9WYB0.pdb
1358,FCI,TM_0307,Carbohydrate Metabolism,"['fcl_L_c', 'fuc_L_c']",,Q9WYE3.pdb,Q9WYE3.pdb
1359,FE3abc,TM_0078,Transport,"['atp_c', 'fe3_c', 'h2o_c', 'fe3_e', 'h_c', 'adp_c', 'pi_c']",,Q9WXT3.pdb,Q9WXT3.pdb
1360,FE3abc,TM_0079,Transport,"['atp_c', 'fe3_c', 'h2o_c', 'fe3_e', 'h_c', 'adp_c', 'pi_c']",,Q9WXT4.pdb,Q9WXT4.pdb
1361,FE3abc,TM_0080,Transport,"['atp_c', 'fe3_c', 'h2o_c', 'fe3_e', 'h_c', 'adp_c', 'pi_c']",,Q9WXT5.pdb,Q9WXT5.pdb
1362,FE3abc,TM_0189,Transport,"['atp_c', 'fe3_c', 'h2o_c', 'fe3_e', 'h_c', 'adp_c', 'pi_c']",2ETV,,2etv.pdb
1363,FE3abc,TM_0190,Transport,"['atp_c', 'fe3_c', 'h2o_c', 'fe3_e', 'h_c', 'adp_c', 'pi_c']",,Q9WY33.pdb,Q9WY33.pdb
1364,FE3abc,TM_0191,Transport,"['atp_c', 'fe3_c', 'h2o_c', 'fe3_e', 'h_c', 'adp_c', 'pi_c']",,Q9WY34.pdb,Q9WY34.pdb
1365,FMETTRS,TM_0528,tRNA Metabolism,"['mettrna_c', 'h_c', 'thf_c', '10fthf_c', 'fmettrna_c']",,Q9WYZ8.pdb,Q9WYZ8.pdb
1366,FOLD3,TM_0040,Folate Metabolism,"['4abz_c', 'ppi_c', '2ahhmd_c', 'dhpt_c']",,Q9WXP7.pdb,Q9WXP7.pdb
