,m_reaction,m_gene,m_subsystem,m_metabolites,u_pdb,i_entry_name,ssb_best_file
1454,HISTP,TM_0804,Histidine Biosynthesis,"['h2o_c', 'histd_c', 'hisp_c', 'pi_c']",,Q9WZR1.pdb,Q9WZR1.pdb
1455,HISTRS,TM_1090,tRNA Metabolism,"['atp_c', 'ppi_c', 'histrna_c', 'trnahis_c', 'amp_c', 'his_L_c']",,Q9X0H5.pdb,Q9X0H5.pdb
1456,HMPK1,TM_0790,Thiamine Biosynthesis,"['atp_c', 'h_c', '4ampm_c', '4ahmmp_c', 'adp_c']",,Q9WZP7.pdb,Q9WZP7.pdb
1457,PMPK,TM_0790,Thiamine Biosynthesis,"['atp_c', '2mahmp_c', 'adp_c', '4ampm_c']",,Q9WZP7.pdb,Q9WZP7.pdb
1458,HPPK,TM_0041,Folate Metabolism,"['2ahhmp_c', 'atp_c', 'h_c', '2ahhmd_c', 'amp_c']",,Q9WXP8.pdb,Q9WXP8.pdb
1459,HPROb,TM_0578,Proline Biosynthesis,"['1p3h5c_c', 'h_c', '4hpro_LT_c', 'nadp_c', 'nadph_c']",,Q9WZ47.pdb,Q9WZ47.pdb
1460,P5CRyr,TM_0578,Proline Biosynthesis,"['1pyr5c_c', 'h_c', 'nadph_c', 'nadp_c', 'pro_L_c']",,Q9WZ47.pdb,Q9WZ47.pdb
1461,HSERTA,TM_0881,Methionine Metabolism,"['achms_c', 'coa_c', 'accoa_c', 'hom_L_c']",2H2W,,2h2w.pdb
1462,HSK,TM_0545,Threonine Metabolism,"['atp_c', 'adp_c', 'phom_c', 'h_c', 'hom_L_c']",,Q9WZ15.pdb,Q9WZ15.pdb
1463,HXPRT,TM_0206,Purine Metabolism,"['prpp_c', 'ppi_c', 'hxan_c', 'imp_c']",,Q9WY49.pdb,Q9WY49.pdb
1464,XPPT,TM_0206,Purine Metabolism,"['xan_c', 'xmp_c', 'ppi_c', 'prpp_c']",,Q9WY49.pdb,Q9WY49.pdb
1465,HYDFDi,TM_1424,Energy Metabolism,"['h2_c', 'h_c', 'fdxr_4_2_c', 'fdxo_4_2_c']",,Q9S5X7.pdb,Q9S5X7.pdb
1466,HYDFDi,TM_1425,Energy Metabolism,"['h2_c', 'h_c', 'fdxr_4_2_c', 'fdxo_4_2_c']",,G4FFG0.pdb,G4FFG0.pdb
1467,HYDFDi,TM_1426,Energy Metabolism,"['h2_c', 'h_c', 'fdxr_4_2_c', 'fdxo_4_2_c']",,G4FFG1.pdb,G4FFG1.pdb
1468,NAD_H2,TM_1424,Energy Metabolism,"['h2_c', 'nad_c', 'nadh_c', 'h_c']",,Q9S5X7.pdb,Q9S5X7.pdb
1469,NAD_H2,TM_1425,Energy Metabolism,"['h2_c', 'nad_c', 'nadh_c', 'h_c']",,G4FFG0.pdb,G4FFG0.pdb
1470,NAD_H2,TM_1426,Energy Metabolism,"['h2_c', 'nad_c', 'nadh_c', 'h_c']",,G4FFG1.pdb,G4FFG1.pdb
1471,ICDHyr,TM_1148,Citric Acid Cycle,"['akg_c', 'nadph_c', 'icit_c', 'co2_c', 'nadp_c']",1ZOR,,1zor.pdb
1472,IGPDH,TM_1039,Histidine Biosynthesis,"['h2o_c', 'eig3p_c', 'imacp_c']",,Q9X0C9.pdb,Q9X0C9.pdb
1473,ILETA,TM_0831,"Valine, Leucine, and Isoleucine Metabolism","['akg_c', 'ile_L_c', '3mop_c', 'glu_L_c']",3CSW,,3csw_modified_min.pdb
1474,LEUTA,TM_0831,"Valine, Leucine, and Isoleucine Metabolism","['4mop_c', 'leu_L_c', 'akg_c', 'glu_L_c']",3CSW,,3csw_modified_min.pdb
1475,VALTA,TM_0831,"Valine, Leucine, and Isoleucine Metabolism","['val_L_c', 'glu_L_c', 'akg_c', '3mob_c']",3CSW,,3csw_modified_min.pdb
1476,ILETRS,TM_1361,tRNA Metabolism,"['atp_c', 'trnaile_c', 'ppi_c', 'amp_c', 'iletrna_c', 'ile_L_c']",,P46213.pdb,P46213.pdb
1477,IMPCT,TM_1418,Inositol Phosphate Metabolism,"['cdp_inost_c', 'h_c', 'ppi_c', 'mi1p_D_c', 'ctp_c']",4JD0,,4jd0_modified_min.pdb
1478,P_DIPS,TM_1418,Inositol Phosphate Metabolism,"['cmp_c', 'inost_c', 'h_c', 'dip_d_d_c', 'cdp_inost_c']",4JD0,,4jd0_modified_min.pdb
1479,INSTabc,TM_0418,Transport,"['inost_e', 'pi_c', 'atp_c', 'inost_c', 'h_c', 'h2o_c', 'adp_c']",,Q9WYP9.pdb,Q9WYP9.pdb
1480,INSTabc,TM_0419,Transport,"['inost_e', 'pi_c', 'atp_c', 'inost_c', 'h_c', 'h2o_c', 'adp_c']",,Q9WYQ0.pdb,Q9WYQ0.pdb
1481,INSTabc,TM_0420,Transport,"['inost_e', 'pi_c', 'atp_c', 'inost_c', 'h_c', 'h2o_c', 'adp_c']",,Q9WYQ1.pdb,Q9WYQ1.pdb
1482,INSTabc,TM_0421,Transport,"['inost_e', 'pi_c', 'atp_c', 'inost_c', 'h_c', 'h2o_c', 'adp_c']",2YYZ,,2yyz.pdb
1485,IPDPS,TM_1444,Terpenoid biosynthesis,"['ipdp_c', 'nadh_c', 'h2o_c', 'h2mb4p_c', 'h_c', 'nad_c']",,Q9X1F7.pdb,Q9X1F7.pdb
1486,IPMDr,TM_0556,"Valine, Leucine, and Isoleucine Metabolism","['h_c', '3c2hmp_c', 'nadh_c', 'nad_c', '3c4mop_c']",1VLC,,1vlc.pdb
1487,IPPMIa,TM_0554,"Valine, Leucine, and Isoleucine Metabolism","['3c2hmp_c', '2ippm_c', 'h2o_c']",,Q9WZ24.pdb,Q9WZ24.pdb
1488,IPPMIa,TM_0555,"Valine, Leucine, and Isoleucine Metabolism","['3c2hmp_c', '2ippm_c', 'h2o_c']",,Q9WZ25.pdb,Q9WZ25.pdb
1489,IPPMIb,TM_0554,"Valine, Leucine, and Isoleucine Metabolism","['h2o_c', '2ippm_c', '3c3hmp_c']",,Q9WZ24.pdb,Q9WZ24.pdb
1490,IPPMIb,TM_0555,"Valine, Leucine, and Isoleucine Metabolism","['h2o_c', '2ippm_c', '3c3hmp_c']",,Q9WZ25.pdb,Q9WZ25.pdb
1491,IPPS,TM_0552,"Valine, Leucine, and Isoleucine Metabolism","['h2o_c', '3c3hmp_c', 'h_c', 'coa_c', 'accoa_c', '3mob_c']",,Q9WZ22.pdb,Q9WZ22.pdb
1492,IPPS,TM_0553,"Valine, Leucine, and Isoleucine Metabolism","['h2o_c', '3c3hmp_c', 'h_c', 'coa_c', 'accoa_c', '3mob_c']",,Q9WZ23.pdb,Q9WZ23.pdb
1493,LACZ,TM_1193,Alternate Carbon Metabolism,"['h2o_c', 'lcts_c', 'glc_D_c', 'gal_c']",,Q56307.pdb,Q56307.pdb
1494,LACZ,TM_1195,Alternate Carbon Metabolism,"['h2o_c', 'lcts_c', 'glc_D_c', 'gal_c']",,Q9X0S2.pdb,Q9X0S2.pdb
1495,LCTSabc,TM_1194,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'lcts_e', 'adp_c', 'lcts_c']",,Q9S5X6.pdb,Q9S5X6.pdb
1496,LCTSabc,TM_1196,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'lcts_e', 'adp_c', 'lcts_c']",,Q9X0S3.pdb,Q9X0S3.pdb
1497,LCTSabc,TM_1197,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'lcts_e', 'adp_c', 'lcts_c']",,Q9X0S4.pdb,Q9X0S4.pdb
1498,LCTSabc,TM_1198,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'lcts_e', 'adp_c', 'lcts_c']",,Q9X0S5.pdb,Q9X0S5.pdb
1499,LCTSabc,TM_1199,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'lcts_e', 'adp_c', 'lcts_c']",,Q9X0S6.pdb,Q9X0S6.pdb
1500,LDH_L,TM_1867,Pyruvate Met,"['pyr_c', 'h_c', 'nad_c', 'nadh_c', 'lac_L_c']",1A5Z,,1a5z_modified_min.pdb
1501,MCLORi,TM_1867,Cysteine Metabolism,"['mercppyr_c', 'mercplac_c', 'nad_c', 'nadh_c', 'h_c']",1A5Z,,1a5z_modified_min.pdb
1502,MDH,TM_1867,Citric Acid Cycle,"['h_c', 'nadh_c', 'nad_c', 'oaa_c', 'mal_L_c']",1A5Z,,1a5z_modified_min.pdb
1503,LEUTRS,TM_0168,tRNA Metabolism,"['atp_c', 'leu_L_c', 'ppi_c', 'amp_c', 'leutrna_c', 'trnaleu_c']",,Q9WY15.pdb,Q9WY15.pdb
1504,LYSTRS,TM_1705,tRNA Metabolism,"['atp_c', 'ppi_c', 'amp_c', 'lystrna_c', 'lys_L_c', 'trnalys_c']",,Q9X231.pdb,Q9X231.pdb
1505,MALT,TM_1834,Alternate Carbon Metabolism,"['h2o_c', 'malt_c', 'glc_D_c']",1OBB,,1obb.pdb
1506,MAN6PI,TM_0736,Alternate Carbon Metabolism,"['f6p_c', 'man6p_c']",,Q9WZJ5.pdb,Q9WZJ5.pdb
1507,MANAO,TM_0068,Glucuronate Metabolism,"['h_c', 'nad_c', 'nadh_c', 'fruur_c', 'mana_c']",,Q9WXS3.pdb,Q9WXS3.pdb
1508,MECDPDH2,TM_0891,Terpenoid biosynthesis,"['2mecdp_c', 'h2mb4p_c', 'nad_c', 'nadh_c', 'h2o_c']",,Q9WZZ3.pdb,Q9WZZ3.pdb
1509,MECDPS,TM_0647,Terpenoid biosynthesis,"['2mecdp_c', '2p4c2me_c', 'cmp_c']",,Q9WZB5.pdb,Q9WZB5.pdb
1510,MEPCT,TM_1393,Terpenoid biosynthesis,"['ppi_c', 'h_c', '4c2me_c', '2me4p_c', 'ctp_c']",1VPA,,1vpa.pdb
1512,METAT,TM_1658,Methionine Metabolism,"['met_L_c', 'pi_c', 'atp_c', 'h2o_c', 'amet_c', 'ppi_c']",,Q9X1Y8.pdb,Q9X1Y8.pdb
1513,METB1r,TM_1270,Methionine Metabolism,"['achms_c', 'cys_L_c', 'ac_c', 'h_c', 'cyst_L_c']",,Q9X0Z7.pdb,Q9X0Z7.pdb
1514,SHSL2r,TM_1270,Methionine Metabolism,"['h_c', 'suchms_c', 'hcys_L_c', 'h2s_c', 'succ_c']",,Q9X0Z7.pdb,Q9X0Z7.pdb
1515,SHSL4r,TM_1270,Methionine Metabolism,"['h2o_c', 'succ_c', 'nh4_c', 'h_c', '2obut_c', 'suchms_c']",,Q9X0Z7.pdb,Q9X0Z7.pdb
1516,METTRS,TM_1085,tRNA Metabolism,"['atp_c', 'ppi_c', 'mettrna_c', 'met_L_c', 'trnamet_c', 'amp_c']",,O33925.pdb,O33925.pdb
1517,MGSA,TM_1185,Others,"['dhap_c', 'mthgxl_c', 'pi_c']",1VMD,,1vmd.pdb
1518,MI1PS,TM_1419,Inositol Phosphate Metabolism,"['g6p_c', 'mi1p_D_c']",3CIN,,3cin.pdb
1519,MLTG2,TM_1835,Maltose Metabolism,"['h2o_c', 'glc_D_c', 'maltttr_c', 'malttr_c']",,Q9X2F4.pdb,Q9X2F4.pdb
1520,MNLDHr,TM_0298,Mannitol Metabolism,"['mnl_c', 'h_c', 'nad_c', 'nadh_c', 'man_c']",,Q9WYD4.pdb,Q9WYD4.pdb
1521,MNNHr,TM_0069,Glucuronate Metabolism,"['h2o_c', '2ddglcn_c', 'mana_c']",,Q9WXS4.pdb,Q9WXS4.pdb
1522,MOHMT,TM_1728,Pantothenate and CoA Metabolism,"['thf_c', 'h2o_c', '2dhp_c', '3mob_c', 'mlthf_c']",,Q9X251.pdb,Q9X251.pdb
1523,MTHFC,TM_1767,Folate Metabolism,"['methf_c', 'h_c', '10fthf_c', 'h2o_c']",,Q9X288.pdb,Q9X288.pdb
1524,MTHFD,TM_1767,Folate Metabolism,"['methf_c', 'nadph_c', 'mlthf_c', 'nadp_c']",,Q9X288.pdb,Q9X288.pdb
1525,MTHFR2_r,TM_0270,Folate Metabolism,"['5mthf_c', 'h_c', 'nad_c', 'nadh_c', 'mlthf_c']",,Q9WYA7.pdb,Q9WYA7.pdb
1526,MTRIi,TM_0911,Methionine Metabolism,"['5mdru1p_c', '5mdr1p_c']",1T9K,,1t9k.pdb
1527,NADHDH,TM_0010,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9WXM5.pdb,Q9WXM5.pdb
1528,NADHDH,TM_0012,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9WXM7.pdb,Q9WXM7.pdb
1529,NADHDH,TM_0201,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9WY44.pdb,Q9WY44.pdb
1530,NADHDH,TM_0228,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9WY70.pdb,Q9WY70.pdb
1531,NADHDH,TM_1105,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9X0I9.pdb,Q9X0I9.pdb
1532,NADHDH,TM_1211,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9X0T8.pdb,Q9X0T8.pdb
1533,NADHDH,TM_1212,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9X0T9.pdb,Q9X0T9.pdb
1534,NADHDH,TM_1213,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9X0U0.pdb,Q9X0U0.pdb
1535,NADHDH,TM_1214,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9X0U1.pdb,Q9X0U1.pdb
1536,NADHDH,TM_1215,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9X0U2.pdb,Q9X0U2.pdb
1537,NADHDH,TM_1216,Energy Metabolism,"['h_e', 'q_c', 'h_c', 'nadh_c', 'qh2_c', 'nad_c']",,Q9X0U3.pdb,Q9X0U3.pdb
1538,NADK,TM_1733,NAD Metabolism,"['atp_c', 'h_c', 'nad_c', 'adp_c', 'nadp_c']",1YT5,,1yt5.pdb
1539,NADPDH1,TM_0427,Energy Metabolism,"['h_e', 'nadph_c', 'fadh2_c', 'h_c', 'fad_c', 'nadp_c']",,Q9WYQ8.pdb,Q9WYQ8.pdb
1540,NADPDH1,TM_0428,Energy Metabolism,"['h_e', 'nadph_c', 'fadh2_c', 'h_c', 'fad_c', 'nadp_c']",,Q9WYQ9.pdb,Q9WYQ9.pdb
1541,SUCD1,TM_0427,Citric Acid Cycle,"['fadh2_c', 'succ_c', 'fum_c', 'fad_c']",,Q9WYQ8.pdb,Q9WYQ8.pdb
1542,SUCD1,TM_0428,Citric Acid Cycle,"['fadh2_c', 'succ_c', 'fum_c', 'fad_c']",,Q9WYQ9.pdb,Q9WYQ9.pdb
1543,SUCD3,TM_0427,Energy Metabolism,"['fad_c', 'fadh2_c', 'q_c', 'qh2_c']",,Q9WYQ8.pdb,Q9WYQ8.pdb
1544,SUCD3,TM_0428,Energy Metabolism,"['fad_c', 'fadh2_c', 'q_c', 'qh2_c']",,Q9WYQ9.pdb,Q9WYQ9.pdb
1545,NADS1,TM_0645,NAD Metabolism,"['atp_c', 'ppi_c', 'dnad_c', 'h_c', 'nad_c', 'amp_c', 'nh4_c']",,Q9WZB3.pdb,Q9WZB3.pdb
1546,NADS1,TM_1253,NAD Metabolism,"['atp_c', 'ppi_c', 'dnad_c', 'h_c', 'nad_c', 'amp_c', 'nh4_c']",,Q9X0Y0.pdb,Q9X0Y0.pdb
1547,NH4t,TM_0402,Transport,"['nh4_c', 'nh4_e']",,Q9WYN3.pdb,Q9WYN3.pdb
1548,NMNATr,TM_0097,NAD Metabolism,"['atp_c', 'h_c', 'nad_c', 'ppi_c', 'nmn_c']",,Q9WXV2.pdb,Q9WXV2.pdb
1549,NNATr,TM_0097,NAD Metabolism,"['atp_c', 'h_c', 'nicrnt_c', 'ppi_c', 'dnad_c']",,Q9WXV2.pdb,Q9WXV2.pdb
1550,NNAM,TM_0475,NAD Metabolism,"['h2o_c', 'nac_c', 'nh4_c', 'ncam_c']",,Q9WYU6.pdb,Q9WYU6.pdb
1551,NNDPR,TM_1645,NAD Metabolism,"['prpp_c', 'nicrnt_c', 'co2_c', 'ppi_c', 'h_c', 'quln_c']",1O4U,,1o4u.pdb
1552,NP1_r,TM_1596,NAD Metabolism,"['h_c', 'r1p_c', 'nac_c', 'pi_c', 'nicrns_c']",1VMK,,1vmk.pdb
1553,NP1_r,TM_1737,NAD Metabolism,"['h_c', 'r1p_c', 'nac_c', 'pi_c', 'nicrns_c']",,Q9X259.pdb,Q9X259.pdb
1554,PNP,TM_1596,NAD Metabolism,"['rnam_c', 'h_c', 'pi_c', 'ncam_c', 'r1p_c']",1VMK,,1vmk.pdb
1555,PNP,TM_1737,NAD Metabolism,"['rnam_c', 'h_c', 'pi_c', 'ncam_c', 'r1p_c']",,Q9X259.pdb,Q9X259.pdb
1556,PUNP1,TM_1596,Purine Metabolism,"['r1p_c', 'ade_c', 'pi_c', 'adn_c']",1VMK,,1vmk.pdb
1557,PUNP1,TM_1737,Purine Metabolism,"['r1p_c', 'ade_c', 'pi_c', 'adn_c']",,Q9X259.pdb,Q9X259.pdb
1558,PUNP2,TM_1596,Purine Metabolism,"['dad_2_c', 'pi_c', 'ade_c', '2dr1p_c']",1VMK,,1vmk.pdb
1559,PUNP2,TM_1737,Purine Metabolism,"['dad_2_c', 'pi_c', 'ade_c', '2dr1p_c']",,Q9X259.pdb,Q9X259.pdb
1560,PUNP3,TM_1596,Purine Metabolism,"['gsn_c', 'r1p_c', 'pi_c', 'gua_c']",1VMK,,1vmk.pdb
1561,PUNP3,TM_1737,Purine Metabolism,"['gsn_c', 'r1p_c', 'pi_c', 'gua_c']",,Q9X259.pdb,Q9X259.pdb
1562,PUNP4,TM_1596,Purine Metabolism,"['dgsn_c', 'gua_c', 'pi_c', '2dr1p_c']",1VMK,,1vmk.pdb
1563,PUNP4,TM_1737,Purine Metabolism,"['dgsn_c', 'gua_c', 'pi_c', '2dr1p_c']",,Q9X259.pdb,Q9X259.pdb
1564,PUNP5,TM_1596,Purine Metabolism,"['ins_c', 'r1p_c', 'hxan_c', 'pi_c']",1VMK,,1vmk.pdb
1565,PUNP5,TM_1737,Purine Metabolism,"['ins_c', 'r1p_c', 'hxan_c', 'pi_c']",,Q9X259.pdb,Q9X259.pdb
1566,OCBT,TM_1097,Arginine Biosynthesis,"['citr_L_c', 'cbp_c', 'h_c', 'pi_c', 'orn_c']",1VLV,,1vlv.pdb
1568,OMPDC,TM_0332,Pyrimidine Biosynthesis,"['h_c', 'co2_c', 'orot5p_c', 'ump_c']",1VQT,,1vqt.pdb
1569,OOR2,TM_0405,Citric Acid Cycle,"['fdxr_4_2_c', 'fdxo_4_2_c', 'akg_c', 'h_c', 'coa_c', 'succoa_c', 'co2_c']",,Q9WYN6.pdb,Q9WYN6.pdb
1570,OOR2,TM_0406,Citric Acid Cycle,"['fdxr_4_2_c', 'fdxo_4_2_c', 'akg_c', 'h_c', 'coa_c', 'succoa_c', 'co2_c']",,Q9WYN7.pdb,Q9WYN7.pdb
1571,OOR2,TM_1164,Citric Acid Cycle,"['fdxr_4_2_c', 'fdxo_4_2_c', 'akg_c', 'h_c', 'coa_c', 'succoa_c', 'co2_c']",,Q9X0P7.pdb,Q9X0P7.pdb
1572,OOR2,TM_1165,Citric Acid Cycle,"['fdxr_4_2_c', 'fdxo_4_2_c', 'akg_c', 'h_c', 'coa_c', 'succoa_c', 'co2_c']",,Q9X0P8.pdb,Q9X0P8.pdb
1573,ORPT,TM_0331,Pyrimidine Biosynthesis,"['orot_c', 'prpp_c', 'orot5p_c', 'ppi_c']",,Q9WYG6.pdb,Q9WYG6.pdb
1574,PANTS,TM_1077,Pantothenate and CoA Metabolism,"['atp_c', 'ppi_c', 'amp_c', 'h_c', 'pant_R_c', 'ala_B_c', 'pnto_R_c']",2EJC,,2ejc.pdb
1575,PAPPT2,TM_0235,Peptidoglycan Biosynthesis,"['uGgla_c', 'ump_c', 'udcpp_c', 'uaGgla_c']",,Q9WY77.pdb,Q9WY77.pdb
1576,PBUTT,TM_1755,Butanoate Metabolism,"['coa_c', 'btcoa_c', 'butpi_c', 'pi_c']",,Q9X277.pdb,Q9X277.pdb
1577,PFK,TM_0209,Glycolysis/Gluconeogenesis,"['fdp_c', 'atp_c', 'h_c', 'adp_c', 'f6p_c']",,Q9WY52.pdb,Q9WY52.pdb
1578,PFK_ppi,TM_0289,Glycolysis/Gluconeogenesis,"['f6p_c', 'h_c', 'ppi_c', 'pi_c', 'fdp_c']",,Q9WYC5.pdb,Q9WYC5.pdb
1579,PGAMTi,TM_0184,Aminosugar Metabolism,"['gam6p_c', 'gam1p_c']",,Q9WY28.pdb,Q9WY28.pdb
1580,PGCD,TM_0327,Glycine and Serine Metabolism,"['3php_c', '3pg_c', 'nad_c', 'nadh_c', 'h_c']",,Q9WYG2.pdb,Q9WYG2.pdb
1581,PGI,TM_1385,Glycolysis/Gluconeogenesis,"['g6p_c', 'f6p_c']",2Q8N,,2q8n.pdb
1582,PGM,TM_1374,Glycolysis/Gluconeogenesis,"['3pg_c', '2pg_c']",,Q9X194.pdb,Q9X194.pdb
1583,PGM,TM_1774,Glycolysis/Gluconeogenesis,"['3pg_c', '2pg_c']",,Q9X295.pdb,Q9X295.pdb
1584,PHETRS,TM_0821,tRNA Metabolism,"['atp_c', 'phetrna_c', 'amp_c', 'trnaphe_c', 'phe_L_c', 'ppi_c']",,Q9WZS8.pdb,Q9WZS8.pdb
1585,PHETRS,TM_0822,tRNA Metabolism,"['atp_c', 'phetrna_c', 'amp_c', 'trnaphe_c', 'phe_L_c', 'ppi_c']",,Q9WZS9.pdb,Q9WZS9.pdb
1586,PIabc,TM_1261,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'adp_c', 'pi_e']",,Q9X0Y8.pdb,Q9X0Y8.pdb
1587,PIabc,TM_1262,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'adp_c', 'pi_e']",,Q9X0Y9.pdb,Q9X0Y9.pdb
1588,PIabc,TM_1263,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'adp_c', 'pi_e']",,Q9X0Z0.pdb,Q9X0Z0.pdb
1589,PIabc,TM_1264,Transport,"['atp_c', 'pi_c', 'h2o_c', 'h_c', 'adp_c', 'pi_e']",,Q9X0Z1.pdb,Q9X0Z1.pdb
1590,PIt2,TM_0261,Transport,"['h_e', 'pi_e', 'pi_c', 'h_c']",,Q9WY99.pdb,Q9WY99.pdb
1591,PIt2,TM_0917,Transport,"['h_e', 'pi_e', 'pi_c', 'h_c']",,Q9X019.pdb,Q9X019.pdb
1592,PLPS,TM_0472,Vitamin B6 Metabolism,"['glu_L_c', 'h2o_c', 'gln_L_c', 'pydx5p_c', 'pi_c', 'r5p_c', 'h_c', 'g3p_c']",2ISS,,2iss.pdb
1598,PLPS,TM_0473,Vitamin B6 Metabolism,"['glu_L_c', 'h2o_c', 'gln_L_c', 'pydx5p_c', 'pi_c', 'r5p_c', 'h_c', 'g3p_c']",2ISS,,2iss.pdb
1604,POR,TM_0015,Pyruvate Met,"['fdxo_4_2_c', 'co2_c', 'pyr_c', 'h_c', 'coa_c', 'accoa_c', 'fdxr_4_2_c']",2RAA,,2raa.pdb
1605,POR,TM_0016,Pyruvate Met,"['fdxo_4_2_c', 'co2_c', 'pyr_c', 'h_c', 'coa_c', 'accoa_c', 'fdxr_4_2_c']",,Q56316.pdb,Q56316.pdb
1606,POR,TM_0017,Pyruvate Met,"['fdxo_4_2_c', 'co2_c', 'pyr_c', 'h_c', 'coa_c', 'accoa_c', 'fdxr_4_2_c']",,O05651.pdb,O05651.pdb
1607,POR,TM_0018,Pyruvate Met,"['fdxo_4_2_c', 'co2_c', 'pyr_c', 'h_c', 'coa_c', 'accoa_c', 'fdxr_4_2_c']",,Q56317.pdb,Q56317.pdb
1608,PPCDC,TM_1687,Pantothenate and CoA Metabolism,"['pan4p_c', 'co2_c', '4ppcys_c', 'h_c']",,Q9X213.pdb,Q9X213.pdb
1609,PPNCL2,TM_1687,Pantothenate and CoA Metabolism,"['ppi_c', 'h_c', 'cmp_c', '4ppan_c', 'ctp_c', '4ppcys_c', 'cys_L_c']",,Q9X213.pdb,Q9X213.pdb
1610,PPDK,TM_0272,Glycolysis/Gluconeogenesis,"['atp_c', 'pyr_c', 'pep_c', 'pi_c', 'amp_c', 'h_c', 'ppi_c']",,Q9WYA9.pdb,Q9WYA9.pdb
1611,PPM,TM_0167,Carbohydrate Metabolism,"['r5p_c', 'r1p_c']",,Q9WY14.pdb,Q9WY14.pdb
1612,PPM2,TM_0167,Carbohydrate Metabolism,"['2dr1p_c', '2dr5p_c']",,Q9WY14.pdb,Q9WY14.pdb
1613,PPNDr,TM_0344,Phenylalanine Tyrosine Tryptophan Biosynthesis,"['nadh_c', 'nad_c', 'co2_c', 'pphn_c', '34hpp_c']",,Q9WYH9.pdb,Q9WYH9.pdb
1614,PRAGS,TM_1250,Purine Biosynthesis,"['atp_c', 'pi_c', 'pram_c', 'h_c', 'gar_c', 'adp_c', 'gly_c']",1VKZ,,1vkz.pdb
1615,PRAIS,TM_1251,Purine Biosynthesis,"['atp_c', 'pi_c', 'air_c', 'h_c', 'fpram_c', 'adp_c']",,Q9X0X8.pdb,Q9X0X8.pdb
1616,PRAMPC,TM_1035,Histidine Biosynthesis,"['prbamp_c', 'prfp_c', 'h2o_c']",,Q9X0C5.pdb,Q9X0C5.pdb
1617,PRATPP,TM_1035,Histidine Biosynthesis,"['prbatp_c', 'h_c', 'h2o_c', 'ppi_c', 'prbamp_c']",,Q9X0C5.pdb,Q9X0C5.pdb
1618,PRASCS,TM_1243,Purine Biosynthesis,"['atp_c', 'pi_c', '5aizc_c', 'h_c', 'asp_L_c', 'adp_c', '25aics_c']",1KUT,,1kut.pdb
1619,PROTRS,TM_0514,tRNA Metabolism,"['atp_c', 'ppi_c', 'trnapro_c', 'protrna_c', 'pro_L_c', 'amp_c']",,Q9WYY4.pdb,Q9WYY4.pdb
1620,PRPPS,TM_1628,Purine Biosynthesis,"['prpp_c', 'h_c', 'r5p_c', 'amp_c', 'atp_c']",,Q9X1W3.pdb,Q9X1W3.pdb
1621,PSCVT,TM_0345,Chorismate Biosynthesis,"['skm5p_c', '3psme_c', 'pi_c', 'pep_c']",,Q9WYI0.pdb,Q9WYI0.pdb
1622,PTAr,TM_1130,Pyruvate Met,"['actp_c', 'accoa_c', 'pi_c', 'coa_c']",,Q9X0L4.pdb,Q9X0L4.pdb
1623,PTHPS,TM_0038,Folate Metabolism,"['6pthp_c', 'ahdt_c', 'pppi_c']",,Q9WXP5.pdb,Q9WXP5.pdb
1624,PTPAT,TM_0741,Pantothenate and CoA Metabolism,"['atp_c', 'h_c', 'dpcoa_c', 'ppi_c', 'pan4p_c']",1VLH,,1vlh.pdb
1626,PTRCabc,TM_1375,Transport,"['atp_c', 'pi_c', 'h2o_c', 'ptrc_c', 'h_c', 'adp_c', 'ptrc_e']",,Q9X195.pdb,Q9X195.pdb
1627,PTRCabc,TM_1376,Transport,"['atp_c', 'pi_c', 'h2o_c', 'ptrc_c', 'h_c', 'adp_c', 'ptrc_e']",,Q9X196.pdb,Q9X196.pdb
